,Deaths,Date,Incident
0,20000,30 May 1626,"Wanggongchang Explosion in Beijing, China in the Wanggongchang Gunpowder Factory destroys part of the city and kills 20,000 people[1]"
1,3000,18 August 1769,"A lightning bolt caused the Brescia Explosion of a gunpowder depot in Brescia (Italy), destroying one-sixth of the city[2][3]"
2,3000,1 November 1948,"Boiler and ammunition explosion aboard an unidentified merchant ship evacuating troops of the Republic of China Army from Yingkou, China for Taiwan in early November 1948.[4][disputed  – discuss] Other sources suggest this figure is inaccurate.[5]"
3,14002280,6 March 1862,"Ammunition warehouse explodes and kills almost all of Oaxaca brigade, in San Andrés Chalchicomula, Mexico, during the first days of Second French intervention in Mexico[6]"
4,1950,6 December 1917,"Halifax Explosion in Nova Scotia, Canada[7]"
5,1500,5 June 1941,Smederevo Fortress explosion of stockpiled ammunition at Smederevo Fortress near Belgrade in the Territory of the Military Commander in Serbia[8]
6,2561500,16 September 1732,"Military warehouse explodes and kills up to two-thirds of the population of Campo Maior district of Portalegre, Portugal[9][10]"
7,1300,7 August 1956,"Ammunition trucks explode near a railway station in Cali, Colombia[11]"
8,1200,16 October 1926,"Explosion of ammunition on the Chinese troopship Kuang Yuang, near Kiukiang, China[12]"
9,1121,8 June 1943,"Japanese battleship Mutsu, at Hashirajima harbor, 1943 due to magazine explosion; ship sank on 9 June"
10,1100,27 January 2002,"Lagos Armoury Explosion, in Lagos, Nigeria; many deaths were from drowning during the resulting panic"
11,1082,18 October 1998,"Jesse pipeline explosion, near Lagos, Nigeria"
12,1007,18 November 1918,"Ammunition transporter explosion in Hamont, Belgium"
13,1000,31 August 1794,"Explosion of a gunpowder factory in Grenelle, France"
14,843,9 July 1917,Propellant explosion of the British dreadnought battleship HMS Vanguard
15,800,14 April 1944,"Bombay Docks Explosion in Bombay, Bombay Presidency, British India"
16,738,26 November 1914,British pre-dreadnought battleship HMS Bulwark destroyed due to a magazine explosion
17,700,17 August 1989,"Iraqi military plant with facilities explode at Al Hillah, Babil, Iraq"
18,621,27 February 1925,Explosion of a dynamite depot in Brazil.[13]
19,600,28 March 1943,"Explosion of the Caterina Costa, at port of Naples; over 3000 were also injured"
20,590,3 November 1893,"Explosion of dynamite cargo on the steamship Cabo Machichaco, in at the port of Santander, Spain, with more than 2,000 injured.[14]"
21,581,16 April 1947,"Texas City disaster in the Port of Texas City; over 5,000 were also injured."
22,575,4 June 1989,"Ufa train disaster in Ufa, Soviet Union."
23,565,21 September 1921,"Oppau explosion at a BASF plant in Germany; possibly as many as 1,500 were killed"
24,542,9 April 1945,"SS Charles Henderson ammunition explosion at Bari, Italy; 1,800 injured"
25,508,25 February 1984,"A gasoline pipeline exploded in the favela of Vila Sao Jose, Cubatão, Brazil[15][16]"
26,500,19 November 1984,"San Juanico disaster, in Mexico City, Mexico"
27,372,10 November 1944,"Ammunition ship USS Mount Hood exploded at Seeadler Harbor, killing 372 and injuring 371"
28,370,27 July 1816,Powder magazine in Negro Fort in Spanish Florida exploded during battle with United States forces.
29,339,11 September 1905,Japanese battleship Mikasa explosion of magazine (artillery) while at port
30,322,17 July 1944,"Port Chicago disaster at Port Chicago, California, United States"
31,300,25 September 1911,An explosion occurred on the French battleship Liberté
32,300,4 March 2012,"Brazzaville arms dump blasts at Brazzaville, Republic of the Congo"
33,296,18 March 1937,"New London School explosion at New London, Texas, United States"
34,256,18 July 1806,"Gunpowder magazine explosion, Birgu, Malta"
35,256,4 June 2015,"Gas station explosion in Accra, Ghana"
36,235,29 December 2001,"Fireworks stand explosion in Lima, Peru. 235 bodies recovered, 144+ taken to hospital due to burns.[17]"
