,movie,year,imdb,metascore,votes
0,Logan,2017,8.1,77,826000
1,Thor: Ragnarok,2017,7.9,74,812000
2,Guardians of the Galaxy Vol. 2,2017,7.6,67,756000
3,Dunkirk,2017,7.8,94,736000
4,Spider-Man: Homecoming,2017,7.4,73,716000
5,Wonder Woman,2017,7.3,76,698000
6,Get Out,2017,7.8,85,691000
7,Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,669000
8,Blade Runner 2049,2017,8.0,81,658000
9, Baby Driver,2017,7.5,86,605000
10, It,2017,7.3,69,603000
11, Coco,2017,8.4,81,586000
12," Three Billboards Outside Ebbing, Missouri",2017,8.1,88,552000
13, John Wick: Chapter 2,2017,7.4,75,509000
14, Justice League,2017,6.1,45,477000
15, The Shape of Water,2017,7.3,87,446000
16, Jumanji: Welcome to the Jungle,2017,6.9,58,435000
17, Kingsman: The Golden Circle,2017,6.7,44,361000
18, Kong: Skull Island,2017,6.7,62,345000
19, Pirates of the Caribbean: Salazar's Revenge,2017,6.5,39,343000
20, Beauty and the Beast,2017,7.1,65,333000
21, Lady Bird,2017,7.4,93,326000
22, Call Me by Your Name,2017,7.8,94,312000
23, The Greatest Showman,2017,7.5,48,310000
24, Alien: Covenant,2017,6.4,65,302000
25, Murder on the Orient Express,2017,6.5,52,295000
26, War for the Planet of the Apes,2017,7.4,82,280000
27, Wind River,2017,7.7,73,279000
28, Fast & Furious 8,2017,6.6,56,253000
29, Life,2017,6.6,54,252000
30, Mother!,2017,6.6,76,249000
31, The Hitman's Bodyguard,2017,6.9,47,246000
32," I, Tonya",2017,7.5,77,241000
33, King Arthur: Legend of the Sword,2017,6.7,41,231000
34, Ghost in the Shell,2017,6.3,52,227000
35, Darkest Hour,2017,7.4,75,220000
36, American Made,2017,7.1,65,207000
37, Atomic Blonde,2017,6.7,63,206000
38, The Mummy,2017,5.4,34,205000
39, Baywatch,2017,5.5,37,201000
40, Bright,2017,6.3,29,201000
